productsView_link__xrJmL href,z-[-1] src,productsView_totalSkusListView__yiKBR,group-hover,productsView_itemNumber__E_AK5,productsView_priceRange__tnOfl,productsView_savingStory__2gAxy,sr-only,w-4 href,text-xs,sr-only 2,productsView_description__lNG3J,calculateLength__toggle,productsView_options_button__J_wzf,productsView_options_button__J_wzf href,lazyload src,productsView_newFlag__d_fcs,svg')],AddToCartButton_add_to_cart_button__qGnJz
https://www.dickblick.com/products/blick-studio-newsprint-pads/,https://images.ctfassets.net/f1fikihmjtrp/65Os8w2OQuOsHY367SXhuF/dbe77b619c80ce039a2ce1081b9ae938/10311-1043-3-3ww-l.jpg?q=80&w=190&h=190,+ 7 Options,Blick Studio Newsprint Pads,Item #: 10311,$4.48 - $25.19,SAVE up to 19% off List!,4.7 out of 5 stars,[object Object],-139,number of reviews,"Blick Studio Newsprint is ideal for practice sketches with pencils, pastels, or charcoal. Available in pads or reams, the pads feature a heavy cardboa...",#NAME?,Choose Options,https://www.dickblick.com/products/blick-studio-newsprint-pads/,,,,
https://www.dickblick.com/products/ampersand-claybord/,https://images.ctfassets.net/f1fikihmjtrp/6XslbaGcnkVUqnB7qqymOP/cc2f2259d458aa0ce73e95796a019e9d/14915-group-1-4ww.jpg?q=80&w=190&h=190,50+ Options,Ampersand Claybord,Item #: 14915,$5.50 - $602.76,SAVE up to 54% off List!,4.8 out of 5 stars,[object Object],-381,number of reviews,"Claybord is a true multimedia panel, ideal for paint, ink, gouache, egg tempera, acrylics, airbrush, collage, photo-transfer, pencil, casein, and for ...",#NAME?,Choose Options,https://www.dickblick.com/products/ampersand-claybord/,,,,
https://www.dickblick.com/products/strathmore-400-series-pastel-paper-pads/,https://images.ctfassets.net/f1fikihmjtrp/14cD9AabjNQtAg1DkHenB9/5ab7a1af27ff631ed5e30ac6d67b41ae/10800-1023-3ww-l.jpg?q=80&w=190&h=190,+ 3 Options,Strathmore 400 Series Pastel Paper Pads,Item #: 10800,$7.50 - $26.00,SAVE 35% off List!,4.5 out of 5 stars,[object Object],-88,number of reviews,"The textured finish and subtle colors make this paper an ideal background for hard, soft, and oil pastels, as well as a wide variety of drawing media....",#NAME?,Choose Options,https://www.dickblick.com/products/strathmore-400-series-pastel-paper-pads/,,,,
https://www.dickblick.com/products/clairefontaine-pastelmat-card/,https://images.ctfassets.net/f1fikihmjtrp/4hk3haFWu0n7M5dgGo9jUu/ffe03e4571b9bdec59ed76bf066e7426/10820-group3ww-l.jpg?q=80&w=190&h=190,+ 42 Options,Clairefontaine Pastelmat Sheets,Item #: 10820,$5.72 - $33.88,SAVE 12-20% off List!,4.8 out of 5 stars,[object Object],-399,number of reviews,"Clairefontaine developed Pastelmat to meet the specific expectations of the most demanding pastel artists. Acid-free and pH neutral, Pastelmat Sheets ...",#NAME?,Choose Options,https://www.dickblick.com/products/clairefontaine-pastelmat-card/,,,,
https://www.dickblick.com/products/canson-universal-sketch-pad/,https://images.ctfassets.net/f1fikihmjtrp/4Q3VcJVPv0Ha1oMPxdV4NZ/31cf2b0941e99334fddfca3f2913bdd4/10322-1003-M-4ww.jpg?q=80&w=190&h=190,+ 5 Options,Canson Universal Sketch Pad,Item #: 10322,$7.57 - $29.61,SAVE 30-63% off List!,4.8 out of 5 stars,[object Object],-147,number of reviews,"This heavy 65 lb (96 gsm) weight, acid-free paper is well suited for pencil, charcoal, pen, and light wash. It's manufactured from French made Crobart...",#NAME?,Choose Options,https://www.dickblick.com/products/canson-universal-sketch-pad/,,,,
https://www.dickblick.com/products/pacon-all-purpose-newsprint-sheets/,,+ 5 Options,Pacon All-Purpose Newsprint Sheets,Item #: 10311,$6.40 - $57.00,SAVE 15-24% off List!,4.8 out of 5 stars,[object Object],-237,number of reviews,"Newsprint is a school favorite for drawing with pencil, charcoal, pastels, crayons, and markers. Pacon All-Purpose Newsprint Sheets are a 30 lb (...",#NAME?,Choose Options,https://www.dickblick.com/products/pacon-all-purpose-newsprint-sheets/,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 1 1'%3E%3Cpath%20d%3D%22M0%200h1v1H0%22%20fill%3D%22%23F4F4F4%22%2F%3E%3C%2Fsvg%3E",,,
https://www.dickblick.com/products/blick-studio-bristol-pads/,,+ 8 Options,Blick Studio Bristol Pads,Item #: 13329,$6.62 - $27.54,SAVE up to 21% off List!,4.7 out of 5 stars,[object Object],-138,number of reviews,"Available in two surfaces, Blick Studio Bristol is great for use with a wide variety of media. Choose the vellum surface for use with colored pencils,...",#NAME?,Choose Options,https://www.dickblick.com/products/blick-studio-bristol-pads/,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 1 1'%3E%3Cpath%20d%3D%22M0%200h1v1H0%22%20fill%3D%22%23F4F4F4%22%2F%3E%3C%2Fsvg%3E",,,
https://www.dickblick.com/products/blick-wirebound-sketchbook/,,+ 2 Options,Blick Wirebound Sketchbook,Item #: 13815,$10.11 - $12.18,SAVE 59% off List!,4.7 out of 5 stars,[object Object],-52,number of reviews,"Rugged and durable, Blick's Wirebound Sketchbook is ideal as a go-to visual travel journal. The 80 sheets of pure white, 65 lb (98 gsm), sketch-weight...",#NAME?,Choose Options,https://www.dickblick.com/products/blick-wirebound-sketchbook/,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 1 1'%3E%3Cpath%20d%3D%22M0%200h1v1H0%22%20fill%3D%22%23F4F4F4%22%2F%3E%3C%2Fsvg%3E",,,
https://www.dickblick.com/products/pacon-art1st-mixed-media-paper/,,+ 3 Options,Pacon Art1st Mixed Media Paper,Item #: 09701,$50.45 - $99.67,SAVE 39-47% off List!,4.5 out of 5 stars,[object Object],-29,number of reviews,"This heavyweight (80 lb), acid-free, sulphite art paper has a natural white color, a medium tooth, and extra sizing to accept all types of media. Use ...",#NAME?,Choose Options,https://www.dickblick.com/products/pacon-art1st-mixed-media-paper/,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 1 1'%3E%3Cpath%20d%3D%22M0%200h1v1H0%22%20fill%3D%22%23F4F4F4%22%2F%3E%3C%2Fsvg%3E",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
